X,Y,VAL
192,0,176.5
184,0,222
177,0,444.7
176,0,400
175,0,179.2
188,126,120.4
182,119,113.9
176,112,192.5
175,111,200
174,110,67.5
0,128,235.9
0,120,290.3
0,113,516.8
0,112,400
0,111,170.5
133,0,294.5
133,16,402
132,33,331.2
125,45,344.4
116,48,349.1
100,49,373.4
84,49,347
68,49,342.3
36,49,335.4
4,49,226.6
0,49,252.9
132,0,629
132,16,671.2
131,32,752.5
124,44,759.6
116,0,277.8
116,16,305
116,32,419.2
116,46,614.5
116,47,763.3
100,0,223.6
100,16,235
100,32,298.2
100,47,569.9
100,48,742.9
84,0,200.3
84,16,214.6
84,32,284
84,47,557.3
84,48,659.3
68,0,189.7
68,16,201.3
68,32,275.9
68,47,538
68,48,641.1
36,0,179
36,16,188.8
36,32,243.5
36,47,503.6
36,48,650.3
4,0,174.5
4,16,187.5
4,32,241.6
4,47,508.3
4,48,636.6
0,0,173
0,16,185.7
0,32,239.6
0,47,493.4
0,48,623.9
163,0,48.6
163,89,10.8
0,89,14.1
